Experiment_ID,Trial_Number,Length_m,Theoretical_Period_s,Experimental_Period_s,Error_s,Absolute_Error_s,Relative_Error,Percentage_Error,Error_Category,Outlier_Flag
EXP062,2,0.8,1.7943,1.7982,0.0039,0.0039,0.002174,0.2174,Low Error (<1%),False
EXP063,3,0.8,1.7943,1.7779,-0.0164,0.0164,0.00914,0.914,Low Error (<1%),False
EXP064,4,0.8,1.7943,1.776,-0.0183,0.0183,0.010199,1.0199,Moderate Error (1-2%),False
EXP065,5,0.8,1.7943,1.8202,0.0259,0.0259,0.014435,1.4435,Moderate Error (1-2%),False
EXP066,6,0.8,1.7943,1.8321,0.0378,0.0378,0.021067,2.1067,High Error (>=2%),False
EXP067,7,0.8,1.7943,1.8007,0.0064,0.0064,0.003567,0.3567,Low Error (<1%),False
EXP068,8,0.8,1.7943,1.8244,0.0301,0.0301,0.016775,1.6775,Moderate Error (1-2%),False
EXP069,9,0.8,1.7943,1.8102,0.0159,0.0159,0.008861,0.8861,Low Error (<1%),False
EXP070,10,0.8,1.7943,1.7881,-0.0062,0.0062,0.003455,0.3455,Low Error (<1%),False
EXP071,1,1.0,2.0061,2.022,0.0159,0.0159,0.007926,0.7926,Low Error (<1%),False
EXP072,2,1.0,2.0061,1.9299,-0.0762,0.0762,0.037984,3.7984,High Error (>=2%),False
EXP073,3,1.0,2.0061,2.0133,0.0072,0.0072,0.003589,0.3589,Low Error (<1%),False
EXP074,4,1.0,2.0061,2.0485,0.0424,0.0424,0.021136,2.1136,High Error (>=2%),False
EXP075,5,1.0,2.0061,1.9564,-0.0497,0.0497,0.024774,2.4774,High Error (>=2%),False
EXP076,6,1.0,2.0061,2.0321,0.026,0.026,0.01296,1.296,Moderate Error (1-2%),False
EXP077,7,1.0,2.0061,2.016,0.0099,0.0099,0.004935,0.4935,Low Error (<1%),False
EXP078,8,1.0,2.0061,2.0075,0.0014,0.0014,0.000698,0.0698,Low Error (<1%),False
EXP079,9,1.0,2.0061,2.0161,0.01,0.01,0.004985,0.4985,Low Error (<1%),False
EXP080,10,1.0,2.0061,1.9703,-0.0358,0.0358,0.017846,1.7846,Moderate Error (1-2%),False
